ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,andy,arti,azu,barrel,bebr,bitto,cako,chaeix,chaos,collen,dank,dans,dem,deo,dire,dis,dowolf,drj133,eggert,ema,fiop,fl81,gall,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,junk,kama,kcf,kecleon,kotetsu,lefty,lem,lies,mac,max,mega,mihark,mist,moonr,neko,nfun,orange,p0,para,place,plas,pony,prince,prod,prody,pyre,rev,rwlh,sceptile,sergio,shark,skull,sly,snake,sniff,suprak,taffer,tazzy,tgs,tked,tre,tsunami,tunnel,turus,uf8,w1ndzs,wave,xx521,zel
142,"Farde Mal Diavolo -Destroy Evil, then Come-",Mario Kart 8,34,17,51,17,"Farde Mal Diavolo -Destroy Evil, then Come-",,Mario Kart 8,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",,,Mario Kart 8,"Farde Mal Diavolo -Destroy Evil, then Come-",,Mario Kart 8,Mario Kart 8,Mario Kart 8,,,Mario Kart 8,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",Mario Kart 8,,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,Mario Kart 8,Mario Kart 8,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,,"Farde Mal Diavolo -Destroy Evil, then Come-",Mario Kart 8,,,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",Mario Kart 8,,,,,,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,Mario Kart 8,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",Mario Kart 8,,Mario Kart 8,,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",Mario Kart 8,,,,,,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",Mario Kart 8,Mario Kart 8,
143,Shining Eyes,Afternoon in Crossbell,25,23,48,2,Shining Eyes,,Afternoon in Crossbell,Afternoon in Crossbell,Afternoon in Crossbell,Afternoon in Crossbell,,,Shining Eyes,,,Shining Eyes,Afternoon in Crossbell,Afternoon in Crossbell,,,Shining Eyes,Afternoon in Crossbell,Shining Eyes,Shining Eyes,,,Shining Eyes,,Afternoon in Crossbell,Afternoon in Crossbell,,Shining Eyes,Afternoon in Crossbell,Afternoon in Crossbell,Afternoon in Crossbell,Shining Eyes,,Shining Eyes,Afternoon in Crossbell,Shining Eyes,,,Shining Eyes,Shining Eyes,,,Afternoon in Crossbell,Afternoon in Crossbell,,Shining Eyes,Shining Eyes,,,,,,Shining Eyes,,,Afternoon in Crossbell,Shining Eyes,Shining Eyes,Afternoon in Crossbell,,Shining Eyes,,Afternoon in Crossbell,,Shining Eyes,,Shining Eyes,,Afternoon in Crossbell,Shining Eyes,,,,Afternoon in Crossbell,,Afternoon in Crossbell,,Shining Eyes,,Shining Eyes,Shining Eyes,Shining Eyes,,Afternoon in Crossbell,Afternoon in Crossbell,
144,"Let's Go, Mt. Corel!",Credits Song,34,14,48,20,"Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!",Credits Song,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,,"Let's Go, Mt. Corel!",,,"Let's Go, Mt. Corel!",Credits Song,"Let's Go, Mt. Corel!",,,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!","Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,,Credits Song,,Credits Song,Credits Song,,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!","Let's Go, Mt. Corel!","Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!",Credits Song,"Let's Go, Mt. Corel!",,,Credits Song,"Let's Go, Mt. Corel!",,,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,,,,,"Let's Go, Mt. Corel!",,,Credits Song,"Let's Go, Mt. Corel!",Credits Song,"Let's Go, Mt. Corel!",Credits Song,"Let's Go, Mt. Corel!",,Credits Song,,,,"Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,,,Credits Song,,"Let's Go, Mt. Corel!",,Credits Song,,"Let's Go, Mt. Corel!",Credits Song,"Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",
145,Labyrinth IV - Petal Bridge,The Kingdom,31,18,49,13,Labyrinth IV - Petal Bridge,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,,The Kingdom,,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,The Kingdom,The Kingdom,,,The Kingdom,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,The Kingdom,Labyrinth IV - Petal Bridge,The Kingdom,The Kingdom,The Kingdom,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,The Kingdom,,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,The Kingdom,The Kingdom,,,,,,The Kingdom,,,The Kingdom,The Kingdom,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,Labyrinth IV - Petal Bridge,,Labyrinth IV - Petal Bridge,,The Kingdom,,Labyrinth IV - Petal Bridge,The Kingdom,,,,Labyrinth IV - Petal Bridge,,Labyrinth IV - Petal Bridge,,Labyrinth IV - Petal Bridge,,The Kingdom,The Kingdom,Labyrinth IV - Petal Bridge,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,
146,comment te dire adieu,Subterranean Sunrise,26,23,49,3,comment te dire adieu,,Subterranean Sunrise,Subterranean Sunrise,comment te dire adieu,Subterranean Sunrise,,,Subterranean Sunrise,comment te dire adieu,,Subterranean Sunrise,comment te dire adieu,Subterranean Sunrise,comment te dire adieu,,comment te dire adieu,comment te dire adieu,Subterranean Sunrise,Subterranean Sunrise,,,,,comment te dire adieu,comment te dire adieu,,comment te dire adieu,Subterranean Sunrise,Subterranean Sunrise,comment te dire adieu,,Subterranean Sunrise,,comment te dire adieu,comment te dire adieu,,,comment te dire adieu,Subterranean Sunrise,,,Subterranean Sunrise,Subterranean Sunrise,comment te dire adieu,Subterranean Sunrise,comment te dire adieu,,,,,,comment te dire adieu,,,Subterranean Sunrise,comment te dire adieu,,comment te dire adieu,Subterranean Sunrise,Subterranean Sunrise,,Subterranean Sunrise,,comment te dire adieu,,comment te dire adieu,,comment te dire adieu,Subterranean Sunrise,,,,,,comment te dire adieu,,comment te dire adieu,,comment te dire adieu,comment te dire adieu,comment te dire adieu,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,
147,Across Dimming Asterisms,Blue Desert Hotel,22,28,50,6,Blue Desert Hotel,,Blue Desert Hotel,Across Dimming Asterisms,Across Dimming Asterisms,Across Dimming Asterisms,,,Blue Desert Hotel,Blue Desert Hotel,,Across Dimming Asterisms,Across Dimming Asterisms,Blue Desert Hotel,Across Dimming Asterisms,,Blue Desert Hotel,Blue Desert Hotel,Blue Desert Hotel,Blue Desert Hotel,,,Across Dimming Asterisms,,Blue Desert Hotel,Across Dimming Asterisms,,Blue Desert Hotel,Blue Desert Hotel,Across Dimming Asterisms,Blue Desert Hotel,,Across Dimming Asterisms,,Blue Desert Hotel,Blue Desert Hotel,,,Blue Desert Hotel,Blue Desert Hotel,,,Across Dimming Asterisms,Blue Desert Hotel,Blue Desert Hotel,Across Dimming Asterisms,Across Dimming Asterisms,,,,,,Blue Desert Hotel,,,Across Dimming Asterisms,Blue Desert Hotel,,Blue Desert Hotel,Blue Desert Hotel,Across Dimming Asterisms,,Across Dimming Asterisms,,Blue Desert Hotel,,Blue Desert Hotel,,Across Dimming Asterisms,Across Dimming Asterisms,,,,,,Blue Desert Hotel,,Across Dimming Asterisms,,Blue Desert Hotel,Across Dimming Asterisms,Blue Desert Hotel,Across Dimming Asterisms,Across Dimming Asterisms,Blue Desert Hotel,
148,Portals,Norfair,13,37,50,24,Norfair,,Norfair,Norfair,Norfair,Norfair,,,Portals,Norfair,,Portals,Norfair,Norfair,Norfair,,Norfair,Norfair,Norfair,Portals,,,Norfair,,Norfair,Portals,,Portals,Norfair,Portals,Norfair,,Norfair,,Norfair,Norfair,,,Portals,Norfair,,,Norfair,Norfair,Norfair,Norfair,Norfair,,,,,,Norfair,,,Norfair,Portals,,Portals,Norfair,Norfair,,Norfair,,Norfair,,Portals,,Norfair,Norfair,,,,,,Portals,,Norfair,,Portals,Norfair,Portals,Norfair,Norfair,Norfair,
149,Cascarrafa,Lunar Bass,9,42,51,33,Cascarrafa,,Lunar Bass,Lunar Bass,Lunar Bass,Lunar Bass,,,Lunar Bass,Cascarrafa,,Lunar Bass,Lunar Bass,Lunar Bass,,,Cascarrafa,Lunar Bass,Lunar Bass,Lunar Bass,,Lunar Bass,Lunar Bass,,Lunar Bass,Lunar Bass,,Cascarrafa,Cascarrafa,Lunar Bass,Cascarrafa,Lunar Bass,Lunar Bass,Lunar Bass,Lunar Bass,Lunar Bass,,,Cascarrafa,Cascarrafa,,,Lunar Bass,Lunar Bass,,Cascarrafa,Lunar Bass,,,,,,Lunar Bass,Lunar Bass,,Lunar Bass,,Lunar Bass,Cascarrafa,Lunar Bass,Lunar Bass,,Lunar Bass,,Lunar Bass,,Lunar Bass,,Lunar Bass,Lunar Bass,,,,,,Lunar Bass,,Lunar Bass,,Lunar Bass,Lunar Bass,Lunar Bass,,Lunar Bass,Lunar Bass,
150,"Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,22,30,52,8,Mechonis Field,,Mechonis Field,Mechonis Field,Mechonis Field,"Even in the Carpathians, taking a train is still faster than riding a ghoul",,,Mechonis Field,"Even in the Carpathians, taking a train is still faster than riding a ghoul",,"Even in the Carpathians, taking a train is still faster than riding a ghoul","Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,,,Mechonis Field,Mechonis Field,Mechonis Field,"Even in the Carpathians, taking a train is still faster than riding a ghoul",,Mechonis Field,"Even in the Carpathians, taking a train is still faster than riding a ghoul",,"Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,,Mechonis Field,Mechonis Field,Mechonis Field,Mechonis Field,"Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,Mechonis Field,"Even in the Carpathians, taking a train is still faster than riding a ghoul","Even in the Carpathians, taking a train is still faster than riding a ghoul",,,Mechonis Field,Mechonis Field,,,"Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,,"Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,,,,,,"Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,,Mechonis Field,"Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,"Even in the Carpathians, taking a train is still faster than riding a ghoul","Even in the Carpathians, taking a train is still faster than riding a ghoul","Even in the Carpathians, taking a train is still faster than riding a ghoul",,"Even in the Carpathians, taking a train is still faster than riding a ghoul",,Mechonis Field,,"Even in the Carpathians, taking a train is still faster than riding a ghoul",,Mechonis Field,Mechonis Field,,,,,,"Even in the Carpathians, taking a train is still faster than riding a ghoul",,Mechonis Field,,"Even in the Carpathians, taking a train is still faster than riding a ghoul","Even in the Carpathians, taking a train is still faster than riding a ghoul",Mechonis Field,,Mechonis Field,Mechonis Field,
151,Spiral of Erebos,Chimera Lab,31,21,52,10,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,,,Spiral of Erebos,Chimera Lab,,Spiral of Erebos,Chimera Lab,Spiral of Erebos,,,Chimera Lab,Spiral of Erebos,Chimera Lab,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,,Spiral of Erebos,Chimera Lab,,Chimera Lab,Spiral of Erebos,Spiral of Erebos,Chimera Lab,Chimera Lab,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,Chimera Lab,,,Chimera Lab,Chimera Lab,,,Chimera Lab,Spiral of Erebos,,Spiral of Erebos,Chimera Lab,,,,,,Chimera Lab,Spiral of Erebos,,Chimera Lab,Chimera Lab,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,Chimera Lab,,Spiral of Erebos,,Spiral of Erebos,,Chimera Lab,,Chimera Lab,Spiral of Erebos,,,,,,Spiral of Erebos,,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,Chimera Lab,,Spiral of Erebos,Chimera Lab,
152,We form in crystals,The Apex of the World (Rain),24,27,51,3,The Apex of the World (Rain),,,We form in crystals,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),,We form in crystals,We form in crystals,,The Apex of the World (Rain),We form in crystals,We form in crystals,,,We form in crystals,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),,The Apex of the World (Rain),We form in crystals,,We form in crystals,The Apex of the World (Rain),,We form in crystals,The Apex of the World (Rain),The Apex of the World (Rain),We form in crystals,We form in crystals,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),We form in crystals,,,The Apex of the World (Rain),The Apex of the World (Rain),,,We form in crystals,The Apex of the World (Rain),,The Apex of the World (Rain),The Apex of the World (Rain),,,,,,We form in crystals,,,We form in crystals,We form in crystals,The Apex of the World (Rain),We form in crystals,We form in crystals,We form in crystals,,,,The Apex of the World (Rain),,We form in crystals,,We form in crystals,The Apex of the World (Rain),,,,We form in crystals,,The Apex of the World (Rain),,The Apex of the World (Rain),,We form in crystals,The Apex of the World (Rain),We form in crystals,,The Apex of the World (Rain),The Apex of the World (Rain),
153,Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),20,31,51,11,INTERCEPTION - Town in Upheaval (Stage1),,,Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),,Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),,Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),,,Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),Sherbet Land [CD],,INTERCEPTION - Town in Upheaval (Stage1),Sherbet Land [CD],,INTERCEPTION - Town in Upheaval (Stage1),Sherbet Land [CD],Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),,,Sherbet Land [CD],Sherbet Land [CD],,,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),,Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),,,,,,INTERCEPTION - Town in Upheaval (Stage1),,,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),Sherbet Land [CD],Sherbet Land [CD],INTERCEPTION - Town in Upheaval (Stage1),,,,Sherbet Land [CD],,INTERCEPTION - Town in Upheaval (Stage1),,Sherbet Land [CD],Sherbet Land [CD],,,,Sherbet Land [CD],,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),Sherbet Land [CD],,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),
154,Prowler,Sensei's Theme (CO Power),34,17,51,17,Prowler,,,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sensei's Theme (CO Power),,Sensei's Theme (CO Power),Prowler,,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Prowler,,,Prowler,Prowler,Prowler,Prowler,,Sensei's Theme (CO Power),Prowler,,Prowler,Prowler,,Prowler,Prowler,Prowler,Prowler,Prowler,Sensei's Theme (CO Power),Prowler,Prowler,Prowler,,,Sensei's Theme (CO Power),Prowler,,,Sensei's Theme (CO Power),Prowler,,Prowler,Prowler,,,,,,Prowler,,,Sensei's Theme (CO Power),Prowler,Prowler,Prowler,Sensei's Theme (CO Power),Prowler,,,,Prowler,,Prowler,,Sensei's Theme (CO Power),Sensei's Theme (CO Power),,,,Sensei's Theme (CO Power),,Prowler,,Sensei's Theme (CO Power),,Prowler,Prowler,Prowler,,Prowler,Prowler,
155,[ai],Jungle Journey,21,28,49,7,Jungle Journey,,,Jungle Journey,[ai],[ai],,Jungle Journey,Jungle Journey,,,Jungle Journey,Jungle Journey,Jungle Journey,,,Jungle Journey,[ai],Jungle Journey,[ai],,Jungle Journey,[ai],,Jungle Journey,Jungle Journey,,,Jungle Journey,[ai],Jungle Journey,[ai],[ai],Jungle Journey,[ai],Jungle Journey,,,[ai],Jungle Journey,,,[ai],Jungle Journey,,[ai],Jungle Journey,,,,,,Jungle Journey,[ai],,Jungle Journey,Jungle Journey,,[ai],Jungle Journey,Jungle Journey,,[ai],,[ai],,Jungle Journey,,Jungle Journey,,,,,Jungle Journey,,[ai],,[ai],,Jungle Journey,Jungle Journey,[ai],,[ai],[ai],
156,Isolated Island Consigned to Oblivion,Black tar,26,24,50,2,Isolated Island Consigned to Oblivion,,Black tar,Isolated Island Consigned to Oblivion,Black tar,Black tar,,,Black tar,,,Black tar,Black tar,Isolated Island Consigned to Oblivion,,,Isolated Island Consigned to Oblivion,Black tar,Isolated Island Consigned to Oblivion,Black tar,,Black tar,Black tar,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Black tar,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,,,Black tar,Black tar,,,Isolated Island Consigned to Oblivion,Black tar,,Black tar,Black tar,,,,,,Isolated Island Consigned to Oblivion,Black tar,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,,Isolated Island Consigned to Oblivion,Black tar,Black tar,,Black tar,,Isolated Island Consigned to Oblivion,,Isolated Island Consigned to Oblivion,,Black tar,,,,,Black tar,,Isolated Island Consigned to Oblivion,,Black tar,,Isolated Island Consigned to Oblivion,Black tar,Isolated Island Consigned to Oblivion,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,
157,Morning Light Hymnus,Nuedori,21,27,48,6,Nuedori,,Morning Light Hymnus,Nuedori,Nuedori,Morning Light Hymnus,Morning Light Hymnus,Nuedori,Nuedori,Morning Light Hymnus,,,Nuedori,Morning Light Hymnus,,,Nuedori,Morning Light Hymnus,Nuedori,Morning Light Hymnus,Morning Light Hymnus,Morning Light Hymnus,Nuedori,,Nuedori,Morning Light Hymnus,,Nuedori,Morning Light Hymnus,,Morning Light Hymnus,,Nuedori,Nuedori,Morning Light Hymnus,Nuedori,,,Nuedori,Nuedori,,,Nuedori,Nuedori,,Morning Light Hymnus,Nuedori,,,,,,,,,Morning Light Hymnus,,,Morning Light Hymnus,Nuedori,Nuedori,,Nuedori,,Nuedori,,Nuedori,,Nuedori,Morning Light Hymnus,,,,,,Nuedori,,Nuedori,,Morning Light Hymnus,Morning Light Hymnus,Nuedori,,Morning Light Hymnus,Morning Light Hymnus,
158,Nazca no Oka (Long Version),The Dreadful Fight,31,21,52,10,Nazca no Oka (Long Version),,The Dreadful Fight,Nazca no Oka (Long Version),The Dreadful Fight,Nazca no Oka (Long Version),The Dreadful Fight,Nazca no Oka (Long Version),The Dreadful Fight,Nazca no Oka (Long Version),,,The Dreadful Fight,The Dreadful Fight,,,The Dreadful Fight,Nazca no Oka (Long Version),Nazca no Oka (Long Version),The Dreadful Fight,Nazca no Oka (Long Version),The Dreadful Fight,Nazca no Oka (Long Version),,The Dreadful Fight,Nazca no Oka (Long Version),,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,The Dreadful Fight,Nazca no Oka (Long Version),Nazca no Oka (Long Version),The Dreadful Fight,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,The Dreadful Fight,Nazca no Oka (Long Version),,,,,,Nazca no Oka (Long Version),,,The Dreadful Fight,Nazca no Oka (Long Version),,The Dreadful Fight,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,The Dreadful Fight,,The Dreadful Fight,,Nazca no Oka (Long Version),,Nazca no Oka (Long Version),The Dreadful Fight,,,,The Dreadful Fight,,Nazca no Oka (Long Version),,Nazca no Oka (Long Version),,The Dreadful Fight,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,Nazca no Oka (Long Version),The Dreadful Fight,
159,Queen in the Dark Night,Danger (ARM Version),22,30,52,8,Danger (ARM Version),,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),,,Danger (ARM Version),Queen in the Dark Night,,,Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),Queen in the Dark Night,Danger (ARM Version),Queen in the Dark Night,Danger (ARM Version),,Queen in the Dark Night,Danger (ARM Version),,Danger (ARM Version),Danger (ARM Version),,Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),Queen in the Dark Night,Danger (ARM Version),Danger (ARM Version),,,Queen in the Dark Night,Queen in the Dark Night,,,Queen in the Dark Night,Danger (ARM Version),,Danger (ARM Version),Danger (ARM Version),,,,,,Queen in the Dark Night,,,Danger (ARM Version),Danger (ARM Version),,Queen in the Dark Night,Queen in the Dark Night,Danger (ARM Version),,Danger (ARM Version),,Danger (ARM Version),,Danger (ARM Version),,Danger (ARM Version),Queen in the Dark Night,,,,Queen in the Dark Night,,Queen in the Dark Night,,Queen in the Dark Night,,Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),,Queen in the Dark Night,Queen in the Dark Night,
160,Kind Lady (Funk Disco Extended Mix),Death by Glamour,26,24,50,2,Kind Lady (Funk Disco Extended Mix),,Death by Glamour,,Kind Lady (Funk Disco Extended Mix),Death by Glamour,,,Death by Glamour,Kind Lady (Funk Disco Extended Mix),,,Kind Lady (Funk Disco Extended Mix),Death by Glamour,,,Death by Glamour,Death by Glamour,Kind Lady (Funk Disco Extended Mix),Death by Glamour,Kind Lady (Funk Disco Extended Mix),Death by Glamour,Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),Death by Glamour,,Death by Glamour,Death by Glamour,Death by Glamour,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Death by Glamour,Kind Lady (Funk Disco Extended Mix),,,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Death by Glamour,Kind Lady (Funk Disco Extended Mix),,Death by Glamour,,,,Kind Lady (Funk Disco Extended Mix),,,Death by Glamour,Kind Lady (Funk Disco Extended Mix),,Death by Glamour,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Death by Glamour,,Death by Glamour,,Death by Glamour,,Death by Glamour,Kind Lady (Funk Disco Extended Mix),,,,,,Death by Glamour,,Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Death by Glamour,Death by Glamour,
