ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,afrono,andy,arti,az,bane,barrel,bebr,bitto,boss,cako,chaeix,chaos,collen,dan,dem,deo,dire,dis,dowolf,drj133,ema,fl81,gall,gin,haste,hb,hbj,horita,hotdog,hunj,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,kong,korji,lasa,lefty,lem,lilly,mac,maple,mark,max,mega,mihark,monkey,neko,nfun,ogura,p0,para,place,plas,pony,prince,prod,prody,pyre,rwlh,sea,sergio,skull,sly,taff,tazzy,tgs,tked,tre,tunnel,turus,uf8,ulti,wave,xuxon,xx521,zel,zts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Sinful Syncopation,Kenhull Badlands,28,24,52,4,Sinful Syncopation,,Sinful Syncopation,Sinful Syncopation,Kenhull Badlands,Sinful Syncopation,Kenhull Badlands,,,,Kenhull Badlands,,,,,Kenhull Badlands,Kenhull Badlands,,Kenhull Badlands,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,Kenhull Badlands,Kenhull Badlands,Sinful Syncopation,,Sinful Syncopation,Sinful Syncopation,Kenhull Badlands,Kenhull Badlands,Kenhull Badlands,,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,Kenhull Badlands,,Sinful Syncopation,Sinful Syncopation,,,,,Kenhull Badlands,Sinful Syncopation,,Sinful Syncopation,Kenhull Badlands,,Sinful Syncopation,Kenhull Badlands,,,,Kenhull Badlands,,,Sinful Syncopation,,,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,,Kenhull Badlands,Kenhull Badlands,,Kenhull Badlands,Kenhull Badlands,Sinful Syncopation,,Sinful Syncopation,Sinful Syncopation,Kenhull Badlands,Kenhull Badlands,Kenhull Badlands,Sinful Syncopation,,,Sinful Syncopation,Kenhull Badlands,,Sinful Syncopation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Baladium’s Drive,Taido (Kenichiro Fukui Remix),17,38,55,21,Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),,Baladium’s Drive,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),,,,,Baladium’s Drive,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Baladium’s Drive,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Baladium’s Drive,Baladium’s Drive,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Baladium’s Drive,,Taido (Kenichiro Fukui Remix),Baladium’s Drive,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Baladium’s Drive,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Baladium’s Drive,,,Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),,Baladium’s Drive,Baladium’s Drive,Baladium’s Drive,Taido (Kenichiro Fukui Remix),,,Taido (Kenichiro Fukui Remix),,Baladium’s Drive,Baladium’s Drive,Baladium’s Drive,,Baladium’s Drive,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,,Baladium’s Drive,Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Recursion,Central Park,29,26,55,3,Recursion,,Central Park,,Central Park,Central Park,Central Park,,Central Park,,,,,Central Park,Central Park,Central Park,Recursion,,Recursion,Recursion,Recursion,Central Park,,Recursion,Recursion,Recursion,,Recursion,Central Park,Central Park,Recursion,Recursion,,Recursion,Central Park,Recursion,Recursion,,Recursion,Central Park,,,Recursion,,Recursion,Recursion,,Recursion,Recursion,Central Park,Recursion,Recursion,,,,Central Park,Central Park,,Central Park,,Recursion,Central Park,Recursion,Recursion,,,Central Park,,Central Park,Central Park,Central Park,,Central Park,Recursion,Central Park,Recursion,Recursion,Central Park,,,Recursion,Central Park,,Recursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Tokyo,Mission Theme 02,26,29,55,3,Mission Theme 02,,Mission Theme 02,,Tokyo,Tokyo,Tokyo,,Mission Theme 02,,,,,Tokyo,Mission Theme 02,Mission Theme 02,Tokyo,,Mission Theme 02,Mission Theme 02,Tokyo,Tokyo,,Mission Theme 02,Mission Theme 02,Mission Theme 02,,Tokyo,Tokyo,Mission Theme 02,Mission Theme 02,Mission Theme 02,,Tokyo,Mission Theme 02,Tokyo,Mission Theme 02,,Tokyo,Mission Theme 02,,,Mission Theme 02,,Mission Theme 02,Tokyo,,Tokyo,Tokyo,Tokyo,Mission Theme 02,Tokyo,,,,Mission Theme 02,Mission Theme 02,,Tokyo,,Tokyo,Tokyo,Tokyo,Mission Theme 02,,,Mission Theme 02,,Mission Theme 02,Mission Theme 02,Tokyo,,Mission Theme 02,Tokyo,Mission Theme 02,Tokyo,Mission Theme 02,Tokyo,,,Mission Theme 02,Mission Theme 02,,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",29,28,57,1,To the West,,To the West,To the West,To the West,To the West,To the West,,To the West,,,,,To the West,To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",To the West,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",To the West,To the West,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",To the West,To the West,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",To the West,To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",To the West,To the West,,To the West,To the West,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,To the West,To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,To the West,To the West,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,To the West,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Re-Fiction-O,Alight (Storm),25,32,57,7,Alight (Storm),,Alight (Storm),Alight (Storm),Alight (Storm),Alight (Storm),Alight (Storm),,Alight (Storm),,,,,Alight (Storm),Re-Fiction-O,Re-Fiction-O,Alight (Storm),,Alight (Storm),Re-Fiction-O,Alight (Storm),Re-Fiction-O,,Re-Fiction-O,Re-Fiction-O,Alight (Storm),,Re-Fiction-O,Alight (Storm),Alight (Storm),Re-Fiction-O,Re-Fiction-O,,Alight (Storm),Alight (Storm),Re-Fiction-O,Re-Fiction-O,,Alight (Storm),Re-Fiction-O,,,Alight (Storm),Re-Fiction-O,Alight (Storm),Re-Fiction-O,,Alight (Storm),Re-Fiction-O,,Re-Fiction-O,Re-Fiction-O,,,,Re-Fiction-O,Re-Fiction-O,,Alight (Storm),,Alight (Storm),Re-Fiction-O,Alight (Storm),Alight (Storm),,Alight (Storm),Re-Fiction-O,,Alight (Storm),Alight (Storm),Alight (Storm),,Re-Fiction-O,Re-Fiction-O,Alight (Storm),Alight (Storm),Re-Fiction-O,Alight (Storm),,,Alight (Storm),Re-Fiction-O,,Alight (Storm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Passage from Genesis,-(LYSINE)-,26,29,55,3,-(LYSINE)-,,Passage from Genesis,-(LYSINE)-,-(LYSINE)-,-(LYSINE)-,-(LYSINE)-,,Passage from Genesis,,,,,-(LYSINE)-,Passage from Genesis,Passage from Genesis,Passage from Genesis,,-(LYSINE)-,Passage from Genesis,Passage from Genesis,Passage from Genesis,,-(LYSINE)-,Passage from Genesis,Passage from Genesis,,-(LYSINE)-,-(LYSINE)-,-(LYSINE)-,-(LYSINE)-,-(LYSINE)-,,-(LYSINE)-,-(LYSINE)-,-(LYSINE)-,-(LYSINE)-,,-(LYSINE)-,Passage from Genesis,,,Passage from Genesis,Passage from Genesis,-(LYSINE)-,Passage from Genesis,,-(LYSINE)-,Passage from Genesis,,-(LYSINE)-,-(LYSINE)-,,,,-(LYSINE)-,Passage from Genesis,,-(LYSINE)-,,Passage from Genesis,Passage from Genesis,Passage from Genesis,Passage from Genesis,,Passage from Genesis,,,-(LYSINE)-,Passage from Genesis,-(LYSINE)-,,-(LYSINE)-,Passage from Genesis,-(LYSINE)-,-(LYSINE)-,-(LYSINE)-,Passage from Genesis,,,,Passage from Genesis,,Passage from Genesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Twin Moon,Disco Necropolis (Graveyard Stage),26,24,50,2,Twin Moon,,Disco Necropolis (Graveyard Stage),Disco Necropolis (Graveyard Stage),Disco Necropolis (Graveyard Stage),,Disco Necropolis (Graveyard Stage),,Disco Necropolis (Graveyard Stage),,Twin Moon,,,Disco Necropolis (Graveyard Stage),,Disco Necropolis (Graveyard Stage),Twin Moon,,Disco Necropolis (Graveyard Stage),Disco Necropolis (Graveyard Stage),Twin Moon,Twin Moon,,,Disco Necropolis (Graveyard Stage),Disco Necropolis (Graveyard Stage),,Twin Moon,Disco Necropolis (Graveyard Stage),Twin Moon,Twin Moon,Twin Moon,,Disco Necropolis (Graveyard Stage),Disco Necropolis (Graveyard Stage),Disco Necropolis (Graveyard Stage),Twin Moon,,Twin Moon,Disco Necropolis (Graveyard Stage),,,,,Disco Necropolis (Graveyard Stage),Disco Necropolis (Graveyard Stage),,Twin Moon,Disco Necropolis (Graveyard Stage),,Twin Moon,,,,,Twin Moon,Twin Moon,,Twin Moon,,Disco Necropolis (Graveyard Stage),Twin Moon,Twin Moon,Twin Moon,,Twin Moon,Disco Necropolis (Graveyard Stage),,Twin Moon,Disco Necropolis (Graveyard Stage),,,,Disco Necropolis (Graveyard Stage),Twin Moon,Disco Necropolis (Graveyard Stage),Twin Moon,Twin Moon,,,Twin Moon,Twin Moon,,Twin Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Lost Forest,Thirty Million Persona,34,14,48,20,Lost Forest,,Lost Forest,Thirty Million Persona,Lost Forest,,Thirty Million Persona,,,,Lost Forest,,,Thirty Million Persona,,Lost Forest,Lost Forest,,Lost Forest,Lost Forest,Thirty Million Persona,Thirty Million Persona,,,Thirty Million Persona,Lost Forest,,,Lost Forest,Lost Forest,Lost Forest,Thirty Million Persona,,Lost Forest,Lost Forest,Thirty Million Persona,Lost Forest,,Lost Forest,Lost Forest,,,,,Lost Forest,Thirty Million Persona,,Thirty Million Persona,Lost Forest,,Lost Forest,,,,,Lost Forest,Thirty Million Persona,,Lost Forest,,Thirty Million Persona,Lost Forest,Lost Forest,Lost Forest,,Thirty Million Persona,Lost Forest,,Lost Forest,Lost Forest,,,,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Thirty Million Persona,,,Lost Forest,Lost Forest,,Lost Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Silent Street (Battle),Lord of Fiends,28,19,47,9,Silent Street (Battle),,Silent Street (Battle),Silent Street (Battle),Lord of Fiends,,Lord of Fiends,,Lord of Fiends,,Lord of Fiends,,,Lord of Fiends,,Silent Street (Battle),Silent Street (Battle),,Silent Street (Battle),Silent Street (Battle),Silent Street (Battle),Lord of Fiends,,,Lord of Fiends,Silent Street (Battle),,Silent Street (Battle),Silent Street (Battle),Silent Street (Battle),Silent Street (Battle),Silent Street (Battle),,Silent Street (Battle),Lord of Fiends,Silent Street (Battle),Silent Street (Battle),,Silent Street (Battle),Silent Street (Battle),,,,,Lord of Fiends,Silent Street (Battle),,Lord of Fiends,Silent Street (Battle),,Silent Street (Battle),,,,,Lord of Fiends,Lord of Fiends,,Silent Street (Battle),,Lord of Fiends,Silent Street (Battle),Lord of Fiends,Silent Street (Battle),,Lord of Fiends,,,Silent Street (Battle),Silent Street (Battle),,,,Lord of Fiends,,Lord of Fiends,Silent Street (Battle),Silent Street (Battle),,,,Lord of Fiends,,Lord of Fiends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Loch to Tabibito,Evil nutshells with hay fever vs all people named Renee,21,23,44,2,Evil nutshells with hay fever vs all people named Renee,,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,Loch to Tabibito,Loch to Tabibito,,,,,,,,,,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,,Loch to Tabibito,Loch to Tabibito,Loch to Tabibito,Loch to Tabibito,,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,Evil nutshells with hay fever vs all people named Renee,,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,,Evil nutshells with hay fever vs all people named Renee,Evil nutshells with hay fever vs all people named Renee,,Evil nutshells with hay fever vs all people named Renee,Evil nutshells with hay fever vs all people named Renee,,Evil nutshells with hay fever vs all people named Renee,,,Evil nutshells with hay fever vs all people named Renee,,,,Loch to Tabibito,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,,Loch to Tabibito,,,,,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,,Evil nutshells with hay fever vs all people named Renee,Evil nutshells with hay fever vs all people named Renee,,Loch to Tabibito,Evil nutshells with hay fever vs all people named Renee,Evil nutshells with hay fever vs all people named Renee,,,Loch to Tabibito,,Evil nutshells with hay fever vs all people named Renee,Evil nutshells with hay fever vs all people named Renee,,,,Loch to Tabibito,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,Evil nutshells with hay fever vs all people named Renee,Loch to Tabibito,Loch to Tabibito,,,Evil nutshells with hay fever vs all people named Renee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Precipice,Second Wind - Sonic Mvt.,32,12,44,20,Precipice,,Second Wind - Sonic Mvt.,Precipice,Precipice,Precipice,,,,,,,,,,Precipice,Second Wind - Sonic Mvt.,,Precipice,Precipice,Precipice,Precipice,,Precipice,Precipice,Precipice,,Precipice,Precipice,,Precipice,Precipice,,Precipice,Second Wind - Sonic Mvt.,,Second Wind - Sonic Mvt.,,,Precipice,,,,Precipice,Precipice,Second Wind - Sonic Mvt.,,Precipice,Precipice,,Precipice,,,,,,Precipice,,Precipice,Second Wind - Sonic Mvt.,Precipice,Precipice,Second Wind - Sonic Mvt.,Second Wind - Sonic Mvt.,,,Second Wind - Sonic Mvt.,,Second Wind - Sonic Mvt.,Precipice,,,,Precipice,Precipice,Precipice,Second Wind - Sonic Mvt.,Precipice,Second Wind - Sonic Mvt.,,,Precipice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,The Shores of Heaven (Sanguine Wastes),Did You See the Ocean?,21,25,46,4,Did You See the Ocean?,,Did You See the Ocean?,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),The Shores of Heaven (Sanguine Wastes),,,,,,,,,,The Shores of Heaven (Sanguine Wastes),Did You See the Ocean?,,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),The Shores of Heaven (Sanguine Wastes),,Did You See the Ocean?,Did You See the Ocean?,,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),,Did You See the Ocean?,Did You See the Ocean?,,The Shores of Heaven (Sanguine Wastes),,,The Shores of Heaven (Sanguine Wastes),,,,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),Did You See the Ocean?,,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),,Did You See the Ocean?,,,,,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),,Did You See the Ocean?,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),The Shores of Heaven (Sanguine Wastes),The Shores of Heaven (Sanguine Wastes),Did You See the Ocean?,,,The Shores of Heaven (Sanguine Wastes),,Did You See the Ocean?,Did You See the Ocean?,,,,The Shores of Heaven (Sanguine Wastes),The Shores of Heaven (Sanguine Wastes),Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),Did You See the Ocean?,Did You See the Ocean?,,Did You See the Ocean?,The Shores of Heaven (Sanguine Wastes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Upsky of Fire Land,Human Warrior,30,19,49,11,Upsky of Fire Land,,Upsky of Fire Land,Human Warrior,Upsky of Fire Land,Upsky of Fire Land,Human Warrior,,Upsky of Fire Land,,,,,,,Upsky of Fire Land,Upsky of Fire Land,,Human Warrior,Upsky of Fire Land,Upsky of Fire Land,Human Warrior,,Human Warrior,Upsky of Fire Land,Upsky of Fire Land,,Upsky of Fire Land,Upsky of Fire Land,Human Warrior,Upsky of Fire Land,Human Warrior,,Human Warrior,Upsky of Fire Land,Upsky of Fire Land,Upsky of Fire Land,,Upsky of Fire Land,Upsky of Fire Land,,,,Human Warrior,Human Warrior,Upsky of Fire Land,,Human Warrior,Human Warrior,,Human Warrior,Upsky of Fire Land,,,,Upsky of Fire Land,,,Upsky of Fire Land,,Upsky of Fire Land,Upsky of Fire Land,Upsky of Fire Land,Human Warrior,,Upsky of Fire Land,Human Warrior,,Upsky of Fire Land,Upsky of Fire Land,,,,Upsky of Fire Land,,Human Warrior,Upsky of Fire Land,Upsky of Fire Land,,,Human Warrior,Human Warrior,,Human Warrior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,SABBATH ~ Devil's Banquet,Assault of Hexed Faith,14,35,49,21,Assault of Hexed Faith,,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,,,,,,,,,SABBATH ~ Devil's Banquet,SABBATH ~ Devil's Banquet,,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,,SABBATH ~ Devil's Banquet,Assault of Hexed Faith,Assault of Hexed Faith,,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,SABBATH ~ Devil's Banquet,,Assault of Hexed Faith,SABBATH ~ Devil's Banquet,Assault of Hexed Faith,Assault of Hexed Faith,,Assault of Hexed Faith,Assault of Hexed Faith,,,,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,,Assault of Hexed Faith,SABBATH ~ Devil's Banquet,,SABBATH ~ Devil's Banquet,Assault of Hexed Faith,,,,SABBATH ~ Devil's Banquet,,,Assault of Hexed Faith,,Assault of Hexed Faith,Assault of Hexed Faith,Assault of Hexed Faith,SABBATH ~ Devil's Banquet,,Assault of Hexed Faith,Assault of Hexed Faith,,Assault of Hexed Faith,SABBATH ~ Devil's Banquet,,,,SABBATH ~ Devil's Banquet,,Assault of Hexed Faith,SABBATH ~ Devil's Banquet,Assault of Hexed Faith,SABBATH ~ Devil's Banquet,,Assault of Hexed Faith,Assault of Hexed Faith,,SABBATH ~ Devil's Banquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,30,20,50,10,Conquest ~ Conquest (Ablaze),,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,FUTURE EXPRESS,,,,,,,FUTURE EXPRESS,Conquest ~ Conquest (Ablaze),,Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,FUTURE EXPRESS,FUTURE EXPRESS,FUTURE EXPRESS,,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,,,,Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,Conquest ~ Conquest (Ablaze),,FUTURE EXPRESS,FUTURE EXPRESS,,Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,,,,FUTURE EXPRESS,,,Conquest ~ Conquest (Ablaze),,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,,FUTURE EXPRESS,FUTURE EXPRESS,,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,,,FUTURE EXPRESS,,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),FUTURE EXPRESS,,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,FUTURE EXPRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Meridian Dance,Battle - f8 One Who Stands Against God,21,30,51,9,Battle - f8 One Who Stands Against God,,Battle - f8 One Who Stands Against God,Meridian Dance,Meridian Dance,,Meridian Dance,,Battle - f8 One Who Stands Against God,,Battle - f8 One Who Stands Against God,,,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,Meridian Dance,Meridian Dance,,Meridian Dance,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,Meridian Dance,Battle - f8 One Who Stands Against God,,Battle - f8 One Who Stands Against God,Meridian Dance,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,Meridian Dance,Meridian Dance,Meridian Dance,Battle - f8 One Who Stands Against God,,,Battle - f8 One Who Stands Against God,,,Meridian Dance,,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,Battle - f8 One Who Stands Against God,Meridian Dance,,Battle - f8 One Who Stands Against God,,,,,Battle - f8 One Who Stands Against God,,,Meridian Dance,,Meridian Dance,Battle - f8 One Who Stands Against God,Meridian Dance,Battle - f8 One Who Stands Against God,,Meridian Dance,Battle - f8 One Who Stands Against God,,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,,,Battle - f8 One Who Stands Against God,,Meridian Dance,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,Meridian Dance,,Meridian Dance,Battle - f8 One Who Stands Against God,,Meridian Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Realm Overworld (Full Steam Ahead!),Last Stand,20,29,49,9,Last Stand,,Realm Overworld (Full Steam Ahead!),Last Stand,Realm Overworld (Full Steam Ahead!),,Realm Overworld (Full Steam Ahead!),,,,Realm Overworld (Full Steam Ahead!),,,Realm Overworld (Full Steam Ahead!),Realm Overworld (Full Steam Ahead!),Last Stand,Last Stand,,Realm Overworld (Full Steam Ahead!),Last Stand,Realm Overworld (Full Steam Ahead!),,Last Stand,Last Stand,Last Stand,Last Stand,,Last Stand,Realm Overworld (Full Steam Ahead!),Last Stand,Last Stand,Last Stand,,Realm Overworld (Full Steam Ahead!),Realm Overworld (Full Steam Ahead!),Last Stand,Last Stand,,,Last Stand,,,Last Stand,,Last Stand,Realm Overworld (Full Steam Ahead!),,Realm Overworld (Full Steam Ahead!),Last Stand,,Realm Overworld (Full Steam Ahead!),,,,,Last Stand,,,Realm Overworld (Full Steam Ahead!),,Last Stand,Last Stand,Realm Overworld (Full Steam Ahead!),Last Stand,,Realm Overworld (Full Steam Ahead!),,,Last Stand,Realm Overworld (Full Steam Ahead!),,,,Last Stand,,Realm Overworld (Full Steam Ahead!),Last Stand,Last Stand,Last Stand,,Realm Overworld (Full Steam Ahead!),Last Stand,,Last Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
