ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,akk,ama,andy,arti,azu,barrel,bebr,cako,cap,chaeix,chaos,collen,crest,dan,dem,deo,devi,dire,dis,dowolf,dragon,drj133,ema,fivda,fl81,flam,gall,gba,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kid,koala,korji,lasa,lefty,lem,mac,marg,mark,max,mega,mihark,moon,mzero,nfun,orange,p0,pablo,para,pixel,place,plas,pony,prince,prod,prody,pyre,rev,rika,rwlh,sceptile,sergio,shark,skull,sly,taffer,tazzy,tennis,tgs,tked,tre,tunnel,turus,uf8,wave,xx521,yhen,zel
125,White Spell,Dialga's Fight to the Finish!,25,33,58,8,Dialga's Fight to the Finish!,,,,Dialga's Fight to the Finish!,White Spell,White Spell,,,Dialga's Fight to the Finish!,,,,Dialga's Fight to the Finish!,,White Spell,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,White Spell,Dialga's Fight to the Finish!,White Spell,Dialga's Fight to the Finish!,White Spell,Dialga's Fight to the Finish!,,White Spell,,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,White Spell,,White Spell,Dialga's Fight to the Finish!,,White Spell,White Spell,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,,White Spell,White Spell,White Spell,White Spell,,White Spell,,Dialga's Fight to the Finish!,,,Dialga's Fight to the Finish!,White Spell,Dialga's Fight to the Finish!,White Spell,Dialga's Fight to the Finish!,,,Dialga's Fight to the Finish!,White Spell,Dialga's Fight to the Finish!,White Spell,,White Spell,,White Spell,White Spell,White Spell,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,White Spell,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,
126,The 3 Karma,The Grand Finale,24,37,61,13,The Grand Finale,,,,The Grand Finale,The 3 Karma,The Grand Finale,,,The 3 Karma,,,,The Grand Finale,,The 3 Karma,,The Grand Finale,The Grand Finale,The Grand Finale,The Grand Finale,The Grand Finale,The 3 Karma,The Grand Finale,The Grand Finale,The 3 Karma,The Grand Finale,,The Grand Finale,,The 3 Karma,The 3 Karma,The Grand Finale,The Grand Finale,The 3 Karma,,The Grand Finale,,The Grand Finale,The 3 Karma,,The Grand Finale,The Grand Finale,The Grand Finale,,The Grand Finale,,The Grand Finale,The Grand Finale,The 3 Karma,The Grand Finale,,The 3 Karma,,The Grand Finale,,,The 3 Karma,The Grand Finale,The Grand Finale,The Grand Finale,The 3 Karma,,,The Grand Finale,The 3 Karma,The 3 Karma,The Grand Finale,The Grand Finale,The 3 Karma,,The 3 Karma,The Grand Finale,The 3 Karma,The 3 Karma,,The 3 Karma,The Grand Finale,The Grand Finale,,,The 3 Karma,The Grand Finale,The Grand Finale,The 3 Karma,The 3 Karma,The 3 Karma,The Grand Finale,The Grand Finale,,
127,"Aegleseeker (""Afterworld"" Full Version)",To Far Away Times,18,39,57,21,To Far Away Times,,,,To Far Away Times,To Far Away Times,To Far Away Times,,,,,,,"Aegleseeker (""Afterworld"" Full Version)",,To Far Away Times,,"Aegleseeker (""Afterworld"" Full Version)",To Far Away Times,"Aegleseeker (""Afterworld"" Full Version)",To Far Away Times,To Far Away Times,"Aegleseeker (""Afterworld"" Full Version)","Aegleseeker (""Afterworld"" Full Version)","Aegleseeker (""Afterworld"" Full Version)","Aegleseeker (""Afterworld"" Full Version)","Aegleseeker (""Afterworld"" Full Version)",,To Far Away Times,,"Aegleseeker (""Afterworld"" Full Version)",To Far Away Times,To Far Away Times,To Far Away Times,"Aegleseeker (""Afterworld"" Full Version)",,To Far Away Times,,"Aegleseeker (""Afterworld"" Full Version)","Aegleseeker (""Afterworld"" Full Version)",,To Far Away Times,To Far Away Times,To Far Away Times,,To Far Away Times,,To Far Away Times,To Far Away Times,To Far Away Times,To Far Away Times,,"Aegleseeker (""Afterworld"" Full Version)",,To Far Away Times,,,,To Far Away Times,To Far Away Times,To Far Away Times,To Far Away Times,,,To Far Away Times,To Far Away Times,"Aegleseeker (""Afterworld"" Full Version)",,"Aegleseeker (""Afterworld"" Full Version)",To Far Away Times,,To Far Away Times,To Far Away Times,"Aegleseeker (""Afterworld"" Full Version)",To Far Away Times,,To Far Away Times,To Far Away Times,To Far Away Times,,,To Far Away Times,To Far Away Times,To Far Away Times,"Aegleseeker (""Afterworld"" Full Version)","Aegleseeker (""Afterworld"" Full Version)",,To Far Away Times,To Far Away Times,,
128,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,34,23,57,11,Northeast Frost Street,,,,Kobito of the Shining Needle ~ Little Princess,,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,,Kobito of the Shining Needle ~ Little Princess,,,,Northeast Frost Street,,Northeast Frost Street,,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,,Kobito of the Shining Needle ~ Little Princess,,,Northeast Frost Street,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,,Northeast Frost Street,,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,,Northeast Frost Street,,,,,,,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Northeast Frost Street,,,,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,,Northeast Frost Street,,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,,,,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,Northeast Frost Street,Kobito of the Shining Needle ~ Little Princess,,Kobito of the Shining Needle ~ Little Princess
129,MNN+@0・(Day),Temple of Drifting Sands,35,21,56,14,MNN+@0・(Day),,,,MNN+@0・(Day),,MNN+@0・(Day),Temple of Drifting Sands,,Temple of Drifting Sands,,,,Temple of Drifting Sands,,MNN+@0・(Day),,Temple of Drifting Sands,,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),Temple of Drifting Sands,Temple of Drifting Sands,,MNN+@0・(Day),,,MNN+@0・(Day),MNN+@0・(Day),Temple of Drifting Sands,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),Temple of Drifting Sands,MNN+@0・(Day),Temple of Drifting Sands,MNN+@0・(Day),Temple of Drifting Sands,Temple of Drifting Sands,,,MNN+@0・(Day),,MNN+@0・(Day),Temple of Drifting Sands,MNN+@0・(Day),,,MNN+@0・(Day),,,,,,,Temple of Drifting Sands,Temple of Drifting Sands,MNN+@0・(Day),,,,MNN+@0・(Day),MNN+@0・(Day),Temple of Drifting Sands,,MNN+@0・(Day),,Temple of Drifting Sands,Temple of Drifting Sands,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),,,,MNN+@0・(Day),MNN+@0・(Day),Temple of Drifting Sands,MNN+@0・(Day),Temple of Drifting Sands,Temple of Drifting Sands,Temple of Drifting Sands,MNN+@0・(Day),,MNN+@0・(Day)
130,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,26,30,56,4,Got more raves? -Full Ver.-,,,,EXEC_CHRONICLE_KEY/.,,EXEC_CHRONICLE_KEY/.,,,Got more raves? -Full Ver.-,,,,Got more raves? -Full Ver.-,,Got more raves? -Full Ver.-,,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,,EXEC_CHRONICLE_KEY/.,,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,,Got more raves? -Full Ver.-,,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,,EXEC_CHRONICLE_KEY/.,,,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,,Got more raves? -Full Ver.-,,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,,,,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,Got more raves? -Full Ver.-,EXEC_CHRONICLE_KEY/.,EXEC_CHRONICLE_KEY/.,Got more raves? -Full Ver.-,,Got more raves? -Full Ver.-
131,Purple Town,HODO,34,26,60,8,Purple Town,,Purple Town,,HODO,,HODO,HODO,,,,,,HODO,,Purple Town,,Purple Town,Purple Town,Purple Town,HODO,,HODO,HODO,HODO,HODO,HODO,,HODO,,Purple Town,Purple Town,Purple Town,Purple Town,Purple Town,Purple Town,Purple Town,Purple Town,Purple Town,,Purple Town,HODO,Purple Town,Purple Town,,HODO,,HODO,HODO,Purple Town,,Purple Town,HODO,Purple Town,Purple Town,,,Purple Town,Purple Town,Purple Town,HODO,HODO,,,,Purple Town,Purple Town,,Purple Town,HODO,,HODO,HODO,HODO,Purple Town,Purple Town,HODO,HODO,,,,Purple Town,Purple Town,HODO,Purple Town,Purple Town,HODO,,Purple Town,,
132,Moonlight Concert,The Synapse - Ambient,33,28,61,5,Moonlight Concert,,The Synapse - Ambient,,The Synapse - Ambient,,Moonlight Concert,The Synapse - Ambient,,,,,,The Synapse - Ambient,,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,The Synapse - Ambient,Moonlight Concert,,The Synapse - Ambient,Moonlight Concert,The Synapse - Ambient,Moonlight Concert,Moonlight Concert,,Moonlight Concert,,The Synapse - Ambient,Moonlight Concert,The Synapse - Ambient,Moonlight Concert,Moonlight Concert,The Synapse - Ambient,Moonlight Concert,The Synapse - Ambient,Moonlight Concert,,The Synapse - Ambient,Moonlight Concert,The Synapse - Ambient,The Synapse - Ambient,,The Synapse - Ambient,,Moonlight Concert,Moonlight Concert,Moonlight Concert,,The Synapse - Ambient,Moonlight Concert,Moonlight Concert,Moonlight Concert,,,,Moonlight Concert,Moonlight Concert,Moonlight Concert,The Synapse - Ambient,,,,The Synapse - Ambient,Moonlight Concert,,Moonlight Concert,Moonlight Concert,,Moonlight Concert,The Synapse - Ambient,Moonlight Concert,Moonlight Concert,The Synapse - Ambient,The Synapse - Ambient,Moonlight Concert,The Synapse - Ambient,,,The Synapse - Ambient,The Synapse - Ambient,Moonlight Concert,Moonlight Concert,Moonlight Concert,Moonlight Concert,,Moonlight Concert,,
133,Purna,Wind Scene,29,31,60,2,Wind Scene,,,,Wind Scene,,Purna,Wind Scene,,,,,,Purna,,Wind Scene,,Wind Scene,Purna,Wind Scene,Purna,Purna,Wind Scene,Purna,Purna,Purna,Purna,,Wind Scene,,Wind Scene,Purna,Wind Scene,Wind Scene,Wind Scene,Purna,Purna,Purna,Purna,Wind Scene,,Purna,Purna,,,,,Wind Scene,Purna,Wind Scene,Wind Scene,Wind Scene,Purna,Wind Scene,Wind Scene,,,Purna,Purna,Purna,Wind Scene,Wind Scene,,,,Wind Scene,Purna,Purna,,Wind Scene,,Purna,Wind Scene,Purna,Purna,,Purna,Purna,Wind Scene,,,Wind Scene,Wind Scene,Wind Scene,Purna,Purna,Wind Scene,Wind Scene,Wind Scene,,Wind Scene
134,Baluchons,Azure Archipelago,24,35,59,11,Azure Archipelago,,,,Baluchons,,Baluchons,Baluchons,,,,,,Azure Archipelago,,Azure Archipelago,,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Baluchons,Azure Archipelago,Baluchons,,Azure Archipelago,,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Baluchons,Azure Archipelago,Azure Archipelago,,Baluchons,Azure Archipelago,,,,,Baluchons,Baluchons,Baluchons,Baluchons,Azure Archipelago,Baluchons,Azure Archipelago,Azure Archipelago,,,,Azure Archipelago,Baluchons,Baluchons,Azure Archipelago,,,,Baluchons,Azure Archipelago,Baluchons,Azure Archipelago,Azure Archipelago,,Baluchons,Baluchons,Baluchons,Baluchons,,Baluchons,Baluchons,Baluchons,,,Azure Archipelago,Baluchons,Azure Archipelago,Azure Archipelago,Azure Archipelago,Baluchons,,Azure Archipelago,,Azure Archipelago
135,We Are Burning Rangers (English Version),Lost Painting,33,28,61,5,We Are Burning Rangers (English Version),,,,Lost Painting,,We Are Burning Rangers (English Version),Lost Painting,,,,,,We Are Burning Rangers (English Version),,Lost Painting,,Lost Painting,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Lost Painting,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Lost Painting,Lost Painting,,We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),Lost Painting,We Are Burning Rangers (English Version),Lost Painting,Lost Painting,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Lost Painting,Lost Painting,We Are Burning Rangers (English Version),,Lost Painting,We Are Burning Rangers (English Version),,,,,Lost Painting,We Are Burning Rangers (English Version),Lost Painting,Lost Painting,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Lost Painting,,,Lost Painting,Lost Painting,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,,,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Lost Painting,We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),Lost Painting,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Lost Painting,,,Lost Painting,Lost Painting,Lost Painting,Lost Painting,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Lost Painting,Lost Painting,,We Are Burning Rangers (English Version)
136,Journey To Candle Hill,Lost Forest,30,31,61,1,Lost Forest,,Journey To Candle Hill,,Lost Forest,Lost Forest,Lost Forest,Journey To Candle Hill,,,,,,Journey To Candle Hill,,Lost Forest,,Lost Forest,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Lost Forest,Journey To Candle Hill,Lost Forest,Lost Forest,Journey To Candle Hill,,Lost Forest,,Journey To Candle Hill,Lost Forest,Journey To Candle Hill,Lost Forest,Lost Forest,Journey To Candle Hill,Journey To Candle Hill,Lost Forest,Lost Forest,Journey To Candle Hill,,Lost Forest,Journey To Candle Hill,Lost Forest,,Lost Forest,,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,,Journey To Candle Hill,Lost Forest,Journey To Candle Hill,,,,,Journey To Candle Hill,Journey To Candle Hill,Lost Forest,Journey To Candle Hill,,,,Lost Forest,Journey To Candle Hill,Journey To Candle Hill,,Journey To Candle Hill,,Journey To Candle Hill,Lost Forest,Lost Forest,Journey To Candle Hill,,Lost Forest,Journey To Candle Hill,Lost Forest,,,Lost Forest,Journey To Candle Hill,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,,
137,Samsara,Techno Syndrome,32,27,59,5,Samsara,,Techno Syndrome,,Samsara,,Techno Syndrome,Techno Syndrome,,,,,,Techno Syndrome,,Samsara,Techno Syndrome,Techno Syndrome,Techno Syndrome,Techno Syndrome,Techno Syndrome,Samsara,Techno Syndrome,Samsara,Samsara,Samsara,Samsara,,Samsara,,Techno Syndrome,Samsara,Samsara,Techno Syndrome,Techno Syndrome,Techno Syndrome,Samsara,Samsara,Techno Syndrome,Techno Syndrome,,Samsara,Techno Syndrome,Techno Syndrome,,Samsara,,Samsara,Samsara,Techno Syndrome,,Techno Syndrome,Techno Syndrome,Samsara,Samsara,,,Samsara,Samsara,Techno Syndrome,Samsara,Samsara,,,,Samsara,Samsara,Samsara,Samsara,,,Samsara,Techno Syndrome,Samsara,Samsara,Techno Syndrome,Techno Syndrome,Techno Syndrome,Techno Syndrome,,,Techno Syndrome,Samsara,Techno Syndrome,Samsara,Techno Syndrome,Techno Syndrome,,Samsara,,
138,Ragna Breakers,NULL APOPHENIA,38,20,58,18,Ragna Breakers,,,,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,,,,,,Ragna Breakers,,Ragna Breakers,,NULL APOPHENIA,Ragna Breakers,NULL APOPHENIA,Ragna Breakers,Ragna Breakers,NULL APOPHENIA,Ragna Breakers,Ragna Breakers,NULL APOPHENIA,Ragna Breakers,,Ragna Breakers,,,NULL APOPHENIA,Ragna Breakers,NULL APOPHENIA,NULL APOPHENIA,NULL APOPHENIA,Ragna Breakers,,Ragna Breakers,NULL APOPHENIA,,Ragna Breakers,NULL APOPHENIA,Ragna Breakers,,Ragna Breakers,,Ragna Breakers,Ragna Breakers,NULL APOPHENIA,Ragna Breakers,,NULL APOPHENIA,NULL APOPHENIA,Ragna Breakers,,,Ragna Breakers,,Ragna Breakers,Ragna Breakers,Ragna Breakers,,,,NULL APOPHENIA,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,,Ragna Breakers,Ragna Breakers,Ragna Breakers,NULL APOPHENIA,,,Ragna Breakers,,,,NULL APOPHENIA,Ragna Breakers,NULL APOPHENIA,NULL APOPHENIA,NULL APOPHENIA,NULL APOPHENIA,Ragna Breakers,Ragna Breakers,,
139,Crocus,Crystal Caves,25,33,58,8,Crystal Caves,,,,Crystal Caves,Crocus,Crocus,Crocus,,,,,,Crystal Caves,,Crystal Caves,,Crystal Caves,Crocus,Crystal Caves,Crystal Caves,Crocus,Crystal Caves,Crocus,Crocus,Crystal Caves,Crystal Caves,,Crystal Caves,,,Crystal Caves,Crocus,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,,Crystal Caves,Crocus,,Crystal Caves,Crystal Caves,Crystal Caves,,Crystal Caves,,Crocus,Crocus,Crystal Caves,Crocus,,Crocus,Crystal Caves,Crocus,,,Crystal Caves,,Crocus,Crystal Caves,Crystal Caves,,Crystal Caves,,Crocus,Crocus,Crystal Caves,,Crocus,,Crocus,,Crocus,Crystal Caves,,,Crocus,Crystal Caves,,,Crocus,Crystal Caves,Crocus,Crystal Caves,Crocus,Crystal Caves,Crystal Caves,Crocus,,
140,Paranoid (World7-1),Beat the Diamonds,23,35,58,12,Beat the Diamonds,,,,Beat the Diamonds,Beat the Diamonds,Beat the Diamonds,Beat the Diamonds,,,,,,Paranoid (World7-1),,Beat the Diamonds,,Beat the Diamonds,Beat the Diamonds,Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Beat the Diamonds,Paranoid (World7-1),Beat the Diamonds,,Beat the Diamonds,,,Paranoid (World7-1),Beat the Diamonds,Beat the Diamonds,Paranoid (World7-1),Beat the Diamonds,Beat the Diamonds,,Paranoid (World7-1),Paranoid (World7-1),,Beat the Diamonds,Beat the Diamonds,Beat the Diamonds,,Paranoid (World7-1),,Paranoid (World7-1),Beat the Diamonds,Paranoid (World7-1),Beat the Diamonds,,Paranoid (World7-1),Beat the Diamonds,Beat the Diamonds,,,Paranoid (World7-1),,,Beat the Diamonds,Beat the Diamonds,,Paranoid (World7-1),,Beat the Diamonds,Beat the Diamonds,Paranoid (World7-1),Beat the Diamonds,Beat the Diamonds,,Beat the Diamonds,,Paranoid (World7-1),Paranoid (World7-1),,,Beat the Diamonds,Beat the Diamonds,,,Beat the Diamonds,Paranoid (World7-1),Beat the Diamonds,Paranoid (World7-1),Beat the Diamonds,Paranoid (World7-1),Beat the Diamonds,Beat the Diamonds,,
141,World Vanquisher (album extended),SHININ' QUEEN,23,35,58,12,SHININ' QUEEN,,,,SHININ' QUEEN,SHININ' QUEEN,World Vanquisher (album extended),World Vanquisher (album extended),,SHININ' QUEEN,,,,SHININ' QUEEN,,SHININ' QUEEN,,SHININ' QUEEN,SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,World Vanquisher (album extended),World Vanquisher (album extended),,World Vanquisher (album extended),,SHININ' QUEEN,,SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,,World Vanquisher (album extended),SHININ' QUEEN,World Vanquisher (album extended),World Vanquisher (album extended),SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,World Vanquisher (album extended),,SHININ' QUEEN,,SHININ' QUEEN,SHININ' QUEEN,World Vanquisher (album extended),,,SHININ' QUEEN,,World Vanquisher (album extended),,,SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,,,,SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,,,,World Vanquisher (album extended),SHININ' QUEEN,,SHININ' QUEEN,,SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,,,World Vanquisher (album extended),SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,World Vanquisher (album extended),SHININ' QUEEN,,World Vanquisher (album extended),,SHININ' QUEEN
